DateTime,value,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,IMF_10,IMF_11,IMF_12,IMF_13
2019-04-25 19:00:00,253.27466666666663,-14.579196255926117,-212.1126471249009,479.96651004749367,17.509972664237196,-137.81491727976942,115.99763559214918,-17.595541439171214,-50.53546868212447,67.46615352981317,18.59650755370167,-1.4640031933065374,20.56137475596555,242.94616966083163
2019-04-25 20:00:00,228.3743333333333,-3.1276300469126816,231.501963380246,479.96651004749367,-31.462177480851054,-145.25408877145333,121.86087646592802,-23.01104308915206,-49.69386984038249,67.42702252552063,18.61432461693135,-1.444742964165307,20.57224963941163,242.94350282442107
2019-04-25 21:00:00,170.99783333333332,-35.61928174843983,-204.2092863753141,410.8264014570873,-75.41217251098158,-149.81077565550976,127.38976695806662,-28.35565661137555,-48.83990442549446,67.37912961747779,18.63104329999669,-1.425490487362437,20.583121449670976,242.94083596205235
2019-04-25 22:00:00,168.5016666666667,-8.412248644360723,176.9139153110274,410.8264014570873,-113.093791415598,-150.95454386382463,132.55495514421045,-33.62199648657115,-47.97402637774743,67.32254938597733,18.64666778596243,-1.4062460290729049,20.593990185963175,242.93816907382728
2019-04-25 23:00:00,151.18616666666668,-5.890547623816294,157.07671429048298,-35.06364796018612,-143.26081318414495,-148.13913589436237,137.3112656660836,-38.802677195467304,-47.0966896374294,67.25735559120177,18.661203078003624,-1.387009855471515,20.60485584750802,242.93550215984783
2019-04-26 00:00:00,137.984,2.2724727947430345,135.71152720525697,-61.654926943181,-164.66701680606639,-140.81500280008657,141.61023172040854,-43.89031321879353,-46.20834814482758,67.18362199333319,18.674654179295636,-1.3677822327332452,20.61571843352533,242.93283522021574
2019-04-26 01:00:00,138.62866666666665,-1.3981648909292694,140.02683155759593,-79.33013821274756,-176.0556652921157,-128.4432887895778,145.40384752668228,-48.87780288312605,-45.30945584022967,67.10142235255387,18.68702609301372,-1.3485634270329565,20.626577943234686,242.93016825503295
2019-04-26 02:00:00,138.19933333333333,-0.22564119473719824,-257.2093225303301,395.63429705840065,-176.3353746242747,-110.6163441963643,148.64524268779263,-53.7591798984322,-44.400466663922735,67.01083042904581,18.698323822333116,-1.3293537045454578,20.63743437585568,242.9275012644014
2019-04-26 03:00:00,136.56533333333334,0.45973069178934745,136.10560264154398,395.63429705840065,-165.50928926308526,-87.50386533362368,151.28783065247535,-58.52876182052668,-43.481834556194535,66.9119199829914,18.70855237042901,-1.3101533314456093,20.648287730608242,242.92483424842283
2019-04-26 04:00:00,129.029,-1.782608881738784,130.81160888173878,-78.47998356095054,-144.99309042447769,-60.20573536578165,153.2854562486523,-63.18129758441084,-42.5540134573327,66.80476477457293,18.717716740476718,-1.290962573908442,20.659138006712023,242.9221672071991
2019-04-26 05:00:00,114.28816666666668,-9.268804536056768,123.55697120272345,-49.468750319860916,-116.89228510331779,-30.03209861753453,154.59368982099562,-67.71326164183614,-41.617457307624434,66.68943856397239,18.72582193565158,-1.2717816981087644,20.669985203386716,242.91950014083216
2019-04-26 06:00:00,101.1555,-13.422733111691016,114.57823311169102,-0.9524682500408446,-83.41599251089669,1.7069005864227762,155.1685330933635,-72.12155982374004,-40.6726200473574,66.56601511137225,18.73287295912857,-1.2526109702212107,20.680829319851973,242.91683304942387
2019-04-26 07:00:00,212.0618333333333,51.22244992971376,160.83938340361954,56.416446484274445,-46.77333185850421,33.70111792139302,154.96625206028676,-76.40336223173277,-39.71995561681894,66.43456817695437,18.738874814083392,-1.2334506564210401,20.691670355327613,242.914165933076
2019-04-26 08:00:00,714.4390000000001,270.37235395808887,444.0666460419112,96.65953559591402,-9.173422357431946,64.64040906268204,153.9443587866119,-80.55708503774001,-38.759917956296626,66.29517152090128,18.743832503690825,-1.2143010228830051,20.702508309033274,242.9114987918906
2019-04-26 09:00:00,666.6726666666667,251.9426129458733,141.0629942745606,273.6670594462328,27.698352676387643,93.21462968559258,152.06138555837316,-84.58216463487514,-37.79296100607792,66.14789890339503,18.747751031126352,-1.1951623357819074,20.713343180188637,242.9088316259694
2019-04-26 10:00:00,655.2826666666666,9.755795842851505,298.49050732688715,347.03636349692795,63.175894712712505,118.11363546543001,149.27605364923272,-88.47822640387983,-36.819538706450274,65.99282408461795,18.750635399565216,-1.1760348612926115,20.724174968013486,242.90616443541433
2019-04-26 11:00:00,526.0406666666667,-22.574126281966016,207.24742345106674,341.36736949756596,92.81420593370524,138.02728207749863,145.54708433285325,-92.24489572549635,-35.84010499770113,65.83002082475201,18.752490612182775,-1.1569188655900926,20.73500367172744,242.9034972203272
2019-04-26 12:00:00,262.7203333333333,-45.27310472926877,307.9934380626021,341.36736949756596,111.0926297257903,151.6454251971023,140.8331988828978,-95.88179798046637,-34.8551138201181,65.65956288397973,18.75332167215393,-1.1378146148490438,20.745829290550176,242.90082998080996
2019-04-26 13:00:00,729.1811666666667,177.7552823526154,551.4258843140514,-34.66966931516377,113.79279015523721,157.6486140679292,135.1024250046444,-99.3885585495319,-33.86501911398856,65.48152402248309,18.753133582654453,-1.1187223752447237,20.75665182370165,242.8981627169644
2019-04-26 14:00:00,704.5068333333334,217.1546491710688,487.35218416226456,48.87524211860925,101.45690296451323,155.1087780671025,128.37994131311348,-102.76480281343466,-32.870274819599985,65.2959780004443,18.75193134685918,-1.0996424129515416,20.76747127040125,242.89549542889245
2019-04-26 15:00:00,675.8133333333334,194.13228443893647,481.6810488943969,84.57986750049815,74.96083884745948,144.8029635797185,120.77993358805564,-106.01015615291689,-31.8713348772401,65.10299857804583,18.74971996794347,-1.0805749941447016,20.778287629868935,242.8928281166959
2019-04-26 16:00:00,497.1785,18.023857589222402,118.79587036586103,360.3587720449166,38.40832697801541,127.93682285077243,112.43651279249902,-109.12424394872028,-30.868653227195967,64.90265951546957,18.74650444908262,-1.0615203849990085,20.78910090132424,242.89016078047678
2019-04-26 17:00:00,294.21083333333337,-180.20400386768733,474.4148372010207,360.3587720449166,-1.7738220402664666,105.7160081252586,103.48378988947236,-112.10669158158692,-29.862683809755428,64.69503457289792,18.742289793451835,-1.0424788516892645,20.799911083987038,242.8874934203368
2019-04-26 18:00:00,309.3795,-192.3156066071915,501.6951066071915,-22.69262149925779,-38.7844018574885,79.34617164817172,94.05587584200416,-114.95712443225868,-28.853880565205692,64.48019751051297,18.73708100422647,-1.0234506603903375,20.810718177076858,242.8848260363778
2019-04-26 19:00:00,297.6603333333333,-19.399451265327727,-147.79358868776325,464.8533732864243,-65.8222061237536,50.032965664506676,84.28688161312279,-117.67516788147735,-27.84269743383451,64.25822208849706,18.730883062158632,-1.0044360548541227,20.821522179813552,242.88215862870177
2019-04-26 20:00:00,212.54616666666664,-10.28506845130182,-233.0953066426556,455.92654176062405,-76.78028779893052,18.98204241925798,74.31091816585699,-120.2604473099851,-26.829588355929072,64.02918206703235,18.723700858307748,-0.9854351891397934,20.832323091416814,242.87949119741054
2019-04-26 21:00:00,180.24416666666667,-57.85464837668205,-15.18827787419584,-212.14810404247382,465.43519696001835,-12.516316466240767,64.26209646323531,-122.71258809852382,-25.81500727177702,63.793151206300834,18.715539261310504,-0.9664481948832775,20.843120911106208,242.876823742606
2019-04-26 22:00:00,145.79350000000002,-170.78552839931191,-189.8879556116981,-125.19361040488286,631.6605944158929,-42.76049332790498,54.27452746828612,-125.03121562783531,-24.79940812166593,63.55020326648523,18.70640313980313,-0.9474752037208436,20.85391563810158,242.87415626439002
