y_true_step_1,y_predict_step_1,y_true_step_2,y_predict_step_2,y_true_step_3,y_predict_step_3,y_true_step_4,y_predict_step_4,y_true_step_5,y_predict_step_5,y_true_step_6,y_predict_step_6,y_true_step_7,y_predict_step_7,y_true_step_8,y_predict_step_8
131.899,127.84536,108.55133333333332,121.78313,107.4075,127.216995,105.86,134.70848,125.85833333333332,152.5378,136.88016666666667,156.60852,175.99166666666667,164.19545,339.21816666666666,304.7262
108.55133333333332,114.57966,107.4075,118.237915,105.86,125.48859,125.85833333333332,141.79393,136.88016666666667,151.50595,175.99166666666667,183.36327,339.21816666666666,316.64935,732.8673333333334,740.5047
107.4075,120.86208,105.86,126.425934,125.85833333333332,139.10776,136.88016666666667,154.04231,175.99166666666667,179.23022,339.21816666666666,336.7748,732.8673333333334,747.53723,672.135,691.6877
105.86,136.08647,125.85833333333332,152.4601,136.88016666666667,157.58218,175.99166666666667,191.12576,339.21816666666666,353.0604,732.8673333333334,757.4229,672.135,726.3845,617.8906666666667,709.40814
125.85833333333332,138.25075,136.88016666666667,156.63799,175.99166666666667,171.62656,339.21816666666666,340.3015,732.8673333333334,755.4928,672.135,702.6078,617.8906666666667,675.06036,496.1773333333333,542.2282
136.88016666666667,148.86668,175.99166666666667,170.31776,339.21816666666666,333.13467,732.8673333333334,762.5669,672.135,711.08813,617.8906666666667,672.91187,496.1773333333333,571.8335,257.8523333333334,310.04965
175.99166666666667,147.83052,339.21816666666666,322.54565,732.8673333333334,754.46954,672.135,699.68005,617.8906666666667,680.5303,496.1773333333333,531.1642,257.8523333333334,282.4426,672.0458333333333,721.5805
339.21816666666666,287.10147,732.8673333333334,713.6885,672.135,677.52704,617.8906666666667,656.5113,496.1773333333333,535.5273,257.8523333333334,290.89093,672.0458333333333,683.972,616.4413333333334,647.6326
732.8673333333334,704.5546,672.135,633.0805,617.8906666666667,649.8462,496.1773333333333,522.474,257.8523333333334,284.23972,672.0458333333333,695.3804,616.4413333333334,633.28186,606.372,631.53754
672.135,635.11707,617.8906666666667,611.37134,496.1773333333333,513.317,257.8523333333334,281.6338,672.0458333333333,699.10016,616.4413333333334,624.8552,606.372,592.9956,470.374,487.33215
617.8906666666667,607.9212,496.1773333333333,497.1903,257.8523333333334,275.7053,672.0458333333333,685.3865,616.4413333333334,626.7479,606.372,579.5281,470.374,457.53723,281.02166666666665,261.24905
496.1773333333333,497.94937,257.8523333333334,262.74005,672.0458333333333,668.5873,616.4413333333334,603.1151,606.372,601.72876,470.374,474.1379,281.02166666666665,252.88257,361.2383333333333,275.81323
257.8523333333334,263.06024,672.0458333333333,657.87415,616.4413333333334,610.79395,606.372,588.08234,470.374,476.32278,281.02166666666665,247.5229,361.2383333333333,283.25803,352.9388333333334,265.84882
