y_true_step_1,y_predict_step_1,y_true_step_2,y_predict_step_2,y_true_step_3,y_predict_step_3,y_true_step_4,y_predict_step_4,y_true_step_5,y_predict_step_5,y_true_step_6,y_predict_step_6,y_true_step_7,y_predict_step_7,y_true_step_8,y_predict_step_8
131.899,139.03052,108.55133333333332,133.42207,107.4075,140.08684,105.86,144.69783,125.85833333333332,144.02824,136.88016666666667,162.65204,175.99166666666667,189.80861,339.21816666666666,312.6626
108.55133333333332,139.95248,107.4075,137.19078,105.86,136.93971,125.85833333333332,150.64389,136.88016666666667,166.64996,175.99166666666667,187.10583,339.21816666666666,307.59848,732.8673333333334,695.0326
107.4075,127.77755,105.86,135.19183,125.85833333333332,151.91203,136.88016666666667,163.00075,175.99166666666667,179.11903,339.21816666666666,324.7398,732.8673333333334,715.69135,672.135,670.8044
105.86,122.09619,125.85833333333332,141.39334,136.88016666666667,157.33504,175.99166666666667,175.97098,339.21816666666666,321.46326,732.8673333333334,719.85425,672.135,680.1387,617.8906666666667,648.45245
125.85833333333332,137.42545,136.88016666666667,158.81139,175.99166666666667,190.46779,339.21816666666666,331.4983,732.8673333333334,734.94904,672.135,677.7017,617.8906666666667,652.3159,496.1773333333333,552.72186
136.88016666666667,144.72554,175.99166666666667,169.2586,339.21816666666666,332.65863,732.8673333333334,731.28436,672.135,664.53613,617.8906666666667,660.29486,496.1773333333333,550.0956,257.8523333333334,318.10803
175.99166666666667,181.15231,339.21816666666666,329.4532,732.8673333333334,761.9526,672.135,688.6397,617.8906666666667,655.2018,496.1773333333333,547.00867,257.8523333333334,313.7723,672.0458333333333,758.41437
339.21816666666666,319.21207,732.8673333333334,736.55725,672.135,698.7625,617.8906666666667,674.3655,496.1773333333333,539.9958,257.8523333333334,283.99387,672.0458333333333,743.1762,616.4413333333334,679.13007
732.8673333333334,735.89954,672.135,679.6105,617.8906666666667,669.5914,496.1773333333333,547.7739,257.8523333333334,275.77887,672.0458333333333,723.1613,616.4413333333334,676.8627,606.372,651.4942
672.135,682.9017,617.8906666666667,621.0399,496.1773333333333,536.0855,257.8523333333334,276.49463,672.0458333333333,694.5509,616.4413333333334,654.3508,606.372,614.34485,470.374,482.95166
617.8906666666667,611.07385,496.1773333333333,515.36743,257.8523333333334,279.29358,672.0458333333333,685.0127,616.4413333333334,616.0239,606.372,586.49225,470.374,472.0491,281.02166666666665,259.02908
496.1773333333333,502.038,257.8523333333334,268.59738,672.0458333333333,683.974,616.4413333333334,631.87256,606.372,592.65344,470.374,475.9472,281.02166666666665,272.2487,361.2383333333333,281.17404
257.8523333333334,254.00558,672.0458333333333,676.16626,616.4413333333334,637.7881,606.372,608.1542,470.374,464.1734,281.02166666666665,260.02524,361.2383333333333,278.45578,352.9388333333334,267.61072
672.0458333333333,669.2081,616.4413333333334,632.6974,606.372,606.3307,470.374,474.47983,281.02166666666665,256.07925,361.2383333333333,280.43408,352.9388333333334,269.14804,254.252,217.2176
616.4413333333334,616.71265,606.372,588.24255,470.374,463.25723,281.02166666666665,267.69153,361.2383333333333,290.8744,352.9388333333334,280.96716,254.252,225.17068,172.00616666666667,179.42201
606.372,582.1633,470.374,451.0196,281.02166666666665,257.23105,361.2383333333333,282.3347,352.9388333333334,269.67413,254.252,207.25308,172.00616666666667,159.90857,154.11383333333333,148.22842
470.374,459.39786,281.02166666666665,261.9171,361.2383333333333,278.64545,352.9388333333334,268.94223,254.252,210.79242,172.00616666666667,161.50983,154.11383333333333,154.8735,151.61583333333334,137.26039
281.02166666666665,260.7822,361.2383333333333,293.8142,352.9388333333334,278.0051,254.252,220.13892,172.00616666666667,166.79796,154.11383333333333,151.46837,151.61583333333334,141.92908,151.46166666666667,127.88741
361.2383333333333,286.021,352.9388333333334,259.44818,254.252,212.3774,172.00616666666667,180.00914,154.11383333333333,152.59892,151.61583333333334,137.35913,151.46166666666667,144.27312,150.6121666666667,132.02202
352.9388333333334,260.77954,254.252,210.6263,172.00616666666667,177.6631,154.11383333333333,154.8513,151.61583333333334,133.4084,151.46166666666667,134.64653,150.6121666666667,137.59818,153.34333333333333,129.5583
254.252,211.13828,172.00616666666667,175.82742,154.11383333333333,162.5606,151.61583333333334,141.0412,151.46166666666667,128.61063,150.6121666666667,135.13608,153.34333333333333,142.2887,153.721,130.6643
172.00616666666667,170.65457,154.11383333333333,152.42891,151.61583333333334,147.25221,151.46166666666667,136.30373,150.6121666666667,127.43201,153.34333333333333,133.68755,153.721,137.7116,166.07316666666668,141.11478
154.11383333333333,145.50787,151.61583333333334,130.80507,151.46166666666667,129.99272,150.6121666666667,129.25032,153.34333333333333,128.28008,153.721,138.1078,166.07316666666668,145.88339,167.86033333333336,145.75145
151.61583333333334,135.90347,151.46166666666667,131.08191,150.6121666666667,132.04994,153.34333333333333,128.72174,153.721,131.23436,166.07316666666668,144.70345,167.86033333333336,150.3623,148.08566666666667,148.67656
151.46166666666667,136.59961,150.6121666666667,124.87383,153.34333333333333,135.5207,153.721,130.04755,166.07316666666668,139.2219,167.86033333333336,150.92888,148.08566666666667,163.17056,345.77750000000003,283.52832
150.6121666666667,125.156136,153.34333333333333,122.264244,153.721,126.58793,166.07316666666668,133.23909,167.86033333333336,137.17522,148.08566666666667,158.21388,345.77750000000003,281.31573,753.6553333333334,634.6501
153.34333333333333,113.58459,153.721,103.072136,166.07316666666668,123.49158,167.86033333333336,136.04956,148.08566666666667,166.29395,345.77750000000003,311.84705,753.6553333333334,657.61584,618.4046666666667,592.05975
153.721,107.12061,166.07316666666668,105.990715,167.86033333333336,143.26768,148.08566666666667,153.04709,345.77750000000003,295.34363,753.6553333333334,648.39374,618.4046666666667,586.3998,592.0191666666667,559.61255
166.07316666666668,118.47598,167.86033333333336,131.92511,148.08566666666667,171.14215,345.77750000000003,296.61893,753.6553333333334,641.7152,618.4046666666667,592.8446,592.0191666666667,562.5575,464.3008333333333,466.68973
167.86033333333336,131.93373,148.08566666666667,151.52095,345.77750000000003,300.19748,753.6553333333334,637.5539,618.4046666666667,578.39575,592.0191666666667,551.663,464.3008333333333,459.19043,292.3401666666667,262.67935
148.08566666666667,158.26285,345.77750000000003,284.1046,753.6553333333334,641.4864,618.4046666666667,572.95984,592.0191666666667,536.16565,464.3008333333333,458.74875,292.3401666666667,261.9504,700.8196666666666,621.62103
345.77750000000003,282.93973,753.6553333333334,633.297,618.4046666666667,583.0151,592.0191666666667,564.6186,464.3008333333333,454.80472,292.3401666666667,245.51044,700.8196666666666,644.1168,577.2326666666667,595.34247
753.6553333333334,627.379,618.4046666666667,583.93054,592.0191666666667,584.7845,464.3008333333333,468.52032,292.3401666666667,236.01797,700.8196666666666,635.6498,577.2326666666667,594.1676,582.802,581.0984
618.4046666666667,619.2432,592.0191666666667,623.32513,464.3008333333333,510.3456,292.3401666666667,251.11646,700.8196666666666,651.5801,577.2326666666667,610.5307,582.802,595.99615,436.8753333333333,469.1979
592.0191666666667,590.47534,464.3008333333333,476.78098,292.3401666666667,267.53674,700.8196666666666,637.2238,577.2326666666667,581.3889,582.802,572.8398,436.8753333333333,463.89282,231.31016666666667,267.10864
464.3008333333333,474.79147,292.3401666666667,259.13733,700.8196666666666,648.0631,577.2326666666667,604.6079,582.802,583.5371,436.8753333333333,466.00253,231.31016666666667,273.62332,264.89866666666666,290.52957
292.3401666666667,255.80629,700.8196666666666,628.2543,577.2326666666667,612.43097,582.802,588.5854,436.8753333333333,454.78943,231.31016666666667,262.37466,264.89866666666666,278.67746,249.9568333333333,277.21732
700.8196666666666,639.67053,577.2326666666667,622.65247,582.802,599.3309,436.8753333333333,470.63882,231.31016666666667,257.21774,264.89866666666666,293.01093,249.9568333333333,276.10043,201.97916666666663,221.0265
