y_true_step_1,y_predict_step_1,y_true_step_2,y_predict_step_2,y_true_step_3,y_predict_step_3,y_true_step_4,y_predict_step_4,y_true_step_5,y_predict_step_5,y_true_step_6,y_predict_step_6,y_true_step_7,y_predict_step_7,y_true_step_8,y_predict_step_8
131.899,144.6988,108.55133333333332,132.89609,107.4075,129.49286,105.86,121.32062,125.85833333333332,149.43733,136.88016666666667,171.57608,175.99166666666667,166.14973,339.21816666666666,308.55905
108.55133333333332,156.22176,107.4075,132.56564,105.86,154.92746,125.85833333333332,149.58548,136.88016666666667,163.63762,175.99166666666667,173.84853,339.21816666666666,361.24838,732.8673333333334,763.0449
107.4075,147.9871,105.86,143.15749,125.85833333333332,133.89204,136.88016666666667,154.67223,175.99166666666667,175.3072,339.21816666666666,314.03094,732.8673333333334,744.20636,672.135,653.63544
105.86,161.48921,125.85833333333332,151.45532,136.88016666666667,165.20699,175.99166666666667,180.16663,339.21816666666666,320.60065,732.8673333333334,742.55334,672.135,679.8339,617.8906666666667,646.31464
125.85833333333332,154.62733,136.88016666666667,155.37991,175.99166666666667,170.51324,339.21816666666666,318.3127,732.8673333333334,719.1807,672.135,673.8176,617.8906666666667,668.64453,496.1773333333333,532.3974
136.88016666666667,159.53804,175.99166666666667,178.07825,339.21816666666666,298.9658,732.8673333333334,747.97064,672.135,709.47516,617.8906666666667,674.71454,496.1773333333333,544.69586,257.8523333333334,282.4644
175.99166666666667,180.3704,339.21816666666666,318.69772,732.8673333333334,748.59125,672.135,714.8646,617.8906666666667,682.2408,496.1773333333333,544.5595,257.8523333333334,301.86398,672.0458333333333,711.94763
339.21816666666666,297.2088,732.8673333333334,746.44305,672.135,698.07404,617.8906666666667,675.2084,496.1773333333333,543.25085,257.8523333333334,282.248,672.0458333333333,731.2857,616.4413333333334,681.9608
732.8673333333334,744.2699,672.135,707.11365,617.8906666666667,674.9488,496.1773333333333,566.7458,257.8523333333334,285.26724,672.0458333333333,716.46783,616.4413333333334,674.24457,606.372,633.0102
672.135,700.6231,617.8906666666667,683.3353,496.1773333333333,532.5883,257.8523333333334,322.16522,672.0458333333333,712.8036,616.4413333333334,649.5547,606.372,620.983,470.374,467.8504
617.8906666666667,672.0258,496.1773333333333,552.9688,257.8523333333334,285.97354,672.0458333333333,714.3955,616.4413333333334,646.1794,606.372,635.3634,470.374,490.54303,281.02166666666665,288.07703
496.1773333333333,545.31305,257.8523333333334,302.51593,672.0458333333333,716.972,616.4413333333334,664.25146,606.372,657.7463,470.374,502.06622,281.02166666666665,284.28262,361.2383333333333,318.6796
257.8523333333334,284.4012,672.0458333333333,709.7929,616.4413333333334,622.8197,606.372,630.45184,470.374,490.1874,281.02166666666665,267.0303,361.2383333333333,303.38422,352.9388333333334,277.59958
672.0458333333333,701.7004,616.4413333333334,646.62714,606.372,601.45734,470.374,482.02444,281.02166666666665,267.29483,361.2383333333333,296.1763,352.9388333333334,283.75772,254.252,206.30457
616.4413333333334,626.85614,606.372,614.1029,470.374,460.55862,281.02166666666665,265.23572,361.2383333333333,279.04965,352.9388333333334,261.16693,254.252,208.65752,172.00616666666667,168.29553
606.372,605.95605,470.374,477.45706,281.02166666666665,263.71448,361.2383333333333,286.72885,352.9388333333334,265.67392,254.252,211.39677,172.00616666666667,170.56892,154.11383333333333,160.90778
470.374,481.70032,281.02166666666665,285.22827,361.2383333333333,295.58282,352.9388333333334,274.99777,254.252,227.59491,172.00616666666667,180.85295,154.11383333333333,162.57382,151.61583333333334,145.09247
281.02166666666665,283.47147,361.2383333333333,300.15158,352.9388333333334,270.44357,254.252,219.08328,172.00616666666667,183.49603,154.11383333333333,164.88083,151.61583333333334,144.15031,151.46166666666667,136.25133
361.2383333333333,328.7923,352.9388333333334,301.7497,254.252,240.4874,172.00616666666667,191.83392,154.11383333333333,173.7797,151.61583333333334,155.81128,151.46166666666667,138.1514,150.6121666666667,136.61047
352.9388333333334,317.28384,254.252,249.40793,172.00616666666667,203.81018,154.11383333333333,178.1431,151.61583333333334,162.13591,151.46166666666667,151.53723,150.6121666666667,142.48372,153.34333333333333,145.82275
254.252,252.21722,172.00616666666667,199.66861,154.11383333333333,171.0472,151.61583333333334,160.74472,151.46166666666667,140.19888,150.6121666666667,139.89507,153.34333333333333,135.39478,153.721,137.4342
172.00616666666667,209.46454,154.11383333333333,182.40836,151.61583333333334,160.95184,151.46166666666667,152.15088,150.6121666666667,139.13664,153.34333333333333,143.37369,153.721,133.91917,166.07316666666668,159.59784
