y_true_step_1,y_predict_step_1,y_true_step_2,y_predict_step_2,y_true_step_3,y_predict_step_3,y_true_step_4,y_predict_step_4,y_true_step_5,y_predict_step_5,y_true_step_6,y_predict_step_6,y_true_step_7,y_predict_step_7,y_true_step_8,y_predict_step_8
152.48750474863448,119.34576,147.03217356988287,132.51436,145.58310218714345,143.02396,146.50180298564078,120.54588,156.69058466252767,132.23053,149.07858630430508,141.0726,117.80892128155074,112.56365,104.05191013958198,135.54329
146.9990525614065,137.17642,145.57258933769197,130.71027,146.30315823071874,150.70518,156.66742702464296,138.68336,149.1261962271566,137.55363,117.45967197553422,129.58978,103.80267488341538,96.77164,100.7707712470759,156.71884
145.41705022129995,115.95534,146.38092473325952,129.63342,156.62319759244787,141.73877,148.96076962986646,123.85492,117.79756487689215,104.57672,103.95258903661802,103.283325,100.83375282046879,138.74829,106.03819184804533,123.22273
146.29506172754745,150.2947,156.725092258971,158.76135,148.98690064225778,156.18652,117.68856980183456,108.68045,103.9151027976748,87.24751,100.79783062502067,122.5599,106.12049600544374,115.89497,114.17006115178424,131.40561
156.7126502775262,126.88197,148.9962289071044,135.5205,117.73325449121032,124.64311,103.85308230166957,75.168045,100.84788635950048,120.89017,105.9846996542787,104.75822,113.85201472844349,124.25139,117.18735279025358,128.32695
149.17584665799956,115.370255,117.66813682811899,97.507065,103.96360183842786,96.68174,100.79688963044107,108.08406,106.03281446762993,123.2329,113.91284891249387,117.42224,117.1216027895707,138.30794,121.83537888928855,141.8389
117.68536182895684,102.835396,103.7988626511304,114.26608,100.85940839693947,132.30156,106.14215843862505,124.63627,113.91714113330275,121.979546,117.22883429555077,123.169624,121.83276661891625,103.3562,121.61379467857827,132.65576
103.89124491434441,87.47687,100.79607876241488,125.80299,106.21379300980703,111.80752,114.08238784604558,137.51097,117.11974924288215,132.12553,121.71110076900028,120.64199,121.41003316926606,120.42729,121.57371267092527,145.90616
100.90825258223941,88.86493,106.31629066952377,118.97971,113.9776323211753,147.47089,117.26801995645587,131.99635,121.76583026917142,129.12663,121.45615469120614,162.67137,121.72947289388418,154.56323,123.97863698997995,124.646965
106.17708406275568,109.15965,114.14129769891474,116.99669,116.9056921562577,144.6987,121.81185691710418,101.89645,121.52937137349048,138.97067,121.66343259828676,141.95068,123.8340094109869,123.64801,161.53707644187327,141.3888
113.9628661445496,121.06204,117.20337792381785,121.25261,121.87745607114081,139.24715,121.46883964483929,132.18083,121.61248397304402,133.09077,123.7746576289749,132.65306,161.82737354510354,128.00336,164.60070844429933,137.49341
117.11469064628997,129.48868,121.780993409978,141.2997,121.53037442160146,139.54788,121.79019783238662,116.96859,123.75462802394561,128.20538,161.70306711867357,143.54623,164.52862251802014,135.35315,184.4531485051868,182.67047
121.75927869437312,131.03754,121.54677219388465,144.83902,121.69384467899759,121.459694,123.80137461999583,113.47634,161.5942962591283,116.86893,164.52576880105684,129.47827,184.56522854834733,156.71078,191.95043893974446,179.83011
