y_true_step_1,y_predict_step_1,y_true_step_2,y_predict_step_2,y_true_step_3,y_predict_step_3,y_true_step_4,y_predict_step_4,y_true_step_5,y_predict_step_5,y_true_step_6,y_predict_step_6,y_true_step_7,y_predict_step_7,y_true_step_8,y_predict_step_8
131.899,118.063,108.55133333333332,116.75212,107.4075,106.83544,105.86,121.31106,125.85833333333332,127.74106,136.88016666666667,135.68309,175.99166666666667,162.34723,339.21816666666666,317.2718
108.55133333333332,104.96813,107.4075,120.13087,105.86,123.73498,125.85833333333332,128.187,136.88016666666667,149.58386,175.99166666666667,201.32521,339.21816666666666,352.0225,732.8673333333334,762.4205
107.4075,124.42535,105.86,144.21286,125.85833333333332,133.06223,136.88016666666667,129.27989,175.99166666666667,205.10902,339.21816666666666,380.55725,732.8673333333334,761.9429,672.135,674.2501
105.86,130.53798,125.85833333333332,152.96504,136.88016666666667,119.332756,175.99166666666667,190.47151,339.21816666666666,366.15015,732.8673333333334,790.01215,672.135,709.8666,617.8906666666667,652.3783
125.85833333333332,126.271736,136.88016666666667,135.24446,175.99166666666667,161.41382,339.21816666666666,337.2569,732.8673333333334,758.6456,672.135,709.7128,617.8906666666667,664.94226,496.1773333333333,514.1485
136.88016666666667,140.17354,175.99166666666667,185.99236,339.21816666666666,329.41833,732.8673333333334,724.4058,672.135,710.6871,617.8906666666667,660.27515,496.1773333333333,527.84393,257.8523333333334,355.7423
175.99166666666667,183.15108,339.21816666666666,340.061,732.8673333333334,744.3548,672.135,688.74927,617.8906666666667,642.78625,496.1773333333333,533.13135,257.8523333333334,320.78067,672.0458333333333,762.2228
339.21816666666666,370.3441,732.8673333333334,741.5849,672.135,704.01373,617.8906666666667,636.8572,496.1773333333333,541.4358,257.8523333333334,311.5517,672.0458333333333,741.7104,616.4413333333334,671.0011
732.8673333333334,736.05975,672.135,698.5974,617.8906666666667,658.5137,496.1773333333333,503.3079,257.8523333333334,306.26807,672.0458333333333,703.2059,616.4413333333334,659.8831,606.372,636.72705
672.135,703.8611,617.8906666666667,655.3687,496.1773333333333,535.2925,257.8523333333334,282.52188,672.0458333333333,685.9817,616.4413333333334,636.25775,606.372,596.6732,470.374,455.55853
617.8906666666667,648.02496,496.1773333333333,512.2449,257.8523333333334,269.0137,672.0458333333333,663.48254,616.4413333333334,618.0519,606.372,580.245,470.374,425.12006,281.02166666666665,220.53108
496.1773333333333,486.09616,257.8523333333334,269.18073,672.0458333333333,654.1738,616.4413333333334,599.7348,606.372,558.58484,470.374,415.15625,281.02166666666665,201.2066,361.2383333333333,234.15764
257.8523333333334,254.88516,672.0458333333333,667.6866,616.4413333333334,594.0604,606.372,549.043,470.374,412.47916,281.02166666666665,223.68753,361.2383333333333,258.09192,352.9388333333334,238.95839
