y_true_step_1,y_predict_step_1
339.21816666666666,299.8504
732.8673333333334,671.9046
672.135,649.98553
617.8906666666667,617.9589
496.1773333333333,508.05283
257.8523333333334,235.13716
672.0458333333333,636.83417
616.4413333333334,638.9229
606.372,617.7133
470.374,446.82462
281.02166666666665,252.44429
361.2383333333333,268.14487
352.9388333333334,238.53102
254.252,193.37277
172.00616666666667,148.45201
154.11383333333333,132.25563
151.61583333333334,124.815674
151.46166666666667,122.58072
150.6121666666667,118.48693
153.34333333333333,119.08161
153.721,112.75976
166.07316666666668,135.07146
167.86033333333336,130.90523
148.08566666666667,133.63936
345.77750000000003,271.4733
753.6553333333334,635.8258
618.4046666666667,613.74725
592.0191666666667,591.59753
464.3008333333333,469.54633
292.3401666666667,247.83743
700.8196666666666,642.83923
577.2326666666667,595.115
582.802,572.9753
436.8753333333333,455.8961
231.31016666666667,264.1672
264.89866666666666,281.34348
249.9568333333333,254.20708
201.97916666666663,208.20158
189.5378333333333,163.10094
155.803,148.60796
140.61033333333336,128.61305
141.16683333333333,126.149895
138.61700000000002,120.98249
138.73033333333333,123.22742
136.3276666666667,117.021065
147.56133333333335,138.87035
155.37849999999997,134.81389
161.57533333333333,144.61833
310.3695,318.0504
682.2355,668.3527
604.6166666666667,602.2823
603.5973333333333,561.7366
477.59816666666666,454.77652
261.23566666666665,232.95282
696.7728333333333,635.6379
584.519,578.7097
601.4169999999999,543.56
453.8145,435.81784
268.3851666666667,254.24962
327.9303333333333,279.31934
308.59883333333335,249.20735
212.89666666666665,201.08617
186.486,162.39223
215.5668333333333,146.82573
179.26816666666667,128.4192
167.39983333333333,131.93568
167.501,129.50877
167.1616666666667,126.58497
163.56,119.371666
178.70916666666665,135.98015
181.884,124.32959
194.49650000000003,123.66452
331.26500000000004,266.71304
665.4213333333333,605.10333
587.234,544.0247
597.1764999999999,526.93646
472.7111666666667,432.77823
250.68616666666668,224.59251
648.3169999999999,618.10126
580.5438333333333,553.40424
565.8025,532.3728
466.91533333333336,440.40787
353.15483333333333,246.22702
472.9575,269.7343
415.9261666666667,244.93323
314.47,197.8289
277.83483333333334,159.5513
229.721,142.96617
209.4545,128.28377
183.5755,123.305145
182.4065,122.19871
180.1735,121.57071
180.9995,117.13767
191.83600000000004,138.35168
188.01383333333337,117.42314
142.06666666666666,108.93588
187.00233333333333,130.9689
257.0878333333333,126.576706
254.04,167.78746
272.6825,153.4059
261.266,151.61842
238.3555,143.39531
270.5655,176.20845
254.75733333333332,165.08122
248.647,169.3969
221.78583333333333,150.99644
156.98933333333335,140.27335
173.55233333333334,172.06537
176.25516666666667,174.10939
179.84333333333333,175.40526
176.754,137.7903
168.34283333333332,132.89754
146.343,125.60699
152.43783333333334,121.27987
147.046,120.96181
145.51833333333337,115.706055
146.34949999999998,112.48816
156.714,125.599655
149.102,111.87846
117.651,90.90228
103.97516666666668,90.30021
100.827,107.962975
106.18066666666668,127.22899
113.98483333333334,119.409615
117.16766666666668,131.82695
121.72966666666666,123.048355
121.52066666666666,131.30324
121.69333333333334,130.03178
123.82483333333334,125.120926
161.73583333333335,119.193115
164.56783333333337,132.67859
184.5995,154.11276
192.03066666666663,159.40166
191.70200000000003,171.00197
153.839,135.0219
151.76333333333335,129.01207
141.305,131.40721
140.0076666666667,121.456085
139.83983333333333,136.46959
138.50233333333335,129.3017
140.35016666666667,116.53666
159.4721666666667,138.6715
165.52666666666667,128.46059
180.64066666666668,127.81133
331.1308333333333,217.68336
759.2848333333334,634.03186
701.3083333333333,597.5839
690.6226666666666,608.1954
537.2293333333333,499.31955
270.0655,227.92775
719.7698333333334,627.42334
671.937,588.9697
622.1088333333333,577.8125
513.3663333333333,490.0116
326.90700000000004,263.36478
311.399,278.07022
288.1143333333333,253.22916
192.21716666666669,206.75037
148.54283333333333,171.59834
126.91583333333332,157.45668
116.37733333333334,137.6993
121.01066666666668,133.37431
119.47116666666666,128.6827
118.479,128.62645
118.955,121.9623
137.25716666666668,136.17506
110.145,128.52994
150.44216666666668,126.44968
323.65683333333334,240.8445
645.2793333333334,599.69635
655.6953333333333,610.2879
643.1171666666667,587.3863
525.7473333333334,477.30032
292.5713333333333,223.88731
702.1576666666666,600.74524
648.0348333333333,602.4273
630.5533333333333,590.7944
482.9881666666667,440.67776
305.7635,254.99843
333.6058333333333,275.40454
330.1358333333333,252.53142
204.93133333333336,202.46693
165.93883333333332,157.78448
133.60133333333334,142.60078
124.20166666666668,125.89171
123.41133333333332,121.5453
123.0945,116.74134
123.52783333333332,116.26221
123.30483333333332,110.3448
142.82316666666665,127.29561
165.7146666666667,123.724525
164.63366666666667,127.10798
327.66966666666667,261.674
641.298,619.90485
558.9476666666667,585.84515
572.378,568.415
450.5298333333333,456.6467
255.46633333333327,229.36781
637.5443333333333,623.15204
569.1336666666666,593.62274
559.9643333333333,567.1496
434.9355,447.11502
277.0755,262.63022
339.24516666666665,278.44595
347.0285,250.16487
265.81683333333336,199.15736
195.5405,155.98442
160.16316666666668,142.5609
144.99066666666667,122.368935
142.62466666666666,124.80133
142.03,120.22842
141.19583333333333,122.9966
138.65116666666663,119.29181
160.06350000000003,138.74837
160.47633333333334,130.55492
139.76683333333332,128.4117
311.16200000000003,260.84354
616.7009999999999,614.6069
570.8678333333334,571.6226
567.6768333333333,560.70984
458.91566666666665,465.89645
259.7626666666667,236.49461
646.152,627.28156
595.3581666666666,576.1563
613.1845,548.06036
463.4058333333333,438.8647
336.9931666666667,256.87552
340.3648333333333,281.43356
328.8186666666667,253.6924
277.644,206.12228
255.67816666666667,164.97005
163.89666666666668,149.89212
158.13916666666668,128.83037
156.39433333333332,130.61336
148.79916666666668,131.63905
149.54149999999998,129.22633
150.00783333333337,121.48487
165.558,135.37654
176.36933333333334,125.033714
205.661,119.8215
347.96316666666667,242.89124
625.0326666666666,571.05835
576.2993333333333,504.65018
557.4888333333333,502.5176
466.0523333333333,416.66125
254.0765,218.54747
616.1658333333332,591.71155
562.5251666666667,550.5312
577.5541666666667,538.52594
437.3511666666666,448.28156
318.611,261.2169
343.40933333333334,288.46808
304.0348333333333,255.94359
178.25383333333332,204.7203
141.54983333333334,168.4706
133.00283333333334,149.133
134.20783333333333,127.87372
131.714,123.805786
107.37833333333332,124.274216
109.97616666666666,120.19523
108.4675,117.597115
116.96516666666666,134.0395
96.87033333333332,114.629425
85.05883333333333,108.701126
89.72766666666666,132.88618
181.44833333333327,125.63773
196.9033333333333,161.9998
197.8275,149.20729
202.368,155.24947
135.22033333333334,147.37376
131.48833333333334,170.33159
125.61483333333334,168.20355
140.34133333333332,171.38234
136.25983333333335,155.78426
121.06583333333334,144.20155
162.92749999999998,170.21556
171.30416666666667,171.39351
159.62600000000003,170.8157
138.6555,132.11696
139.37266666666667,125.44682
129.932,121.20627
118.67816666666668,122.65392
119.99933333333334,123.0077
73.41483333333333,123.83883
82.215,120.641205
92.5,131.64372
88.48366666666668,117.00523
85.39016666666666,93.14432
87.23366666666668,88.13615
95.005,98.93736
93.50833333333334,112.5979
109.97833333333334,111.70992
140.73000000000002,126.232056
130.622,119.43064
133.725,112.57067
141.56033333333335,117.353775
171.33266666666668,115.18872
158.70016666666666,114.53809
155.62366666666668,126.20979
177.11700000000002,151.10582
127.62383333333334,160.70134
126.16516666666668,171.5157
116.8995,140.4275
116.34933333333332,131.97066
87.648,132.35371
83.575,121.35094
84.54766666666666,136.06746
85.148,128.09993
89.3425,112.927124
114.26183333333334,129.08614
123.95133333333334,116.16554
153.57383333333334,122.523636
334.5288333333333,214.99629
749.2323333333334,651.3936
703.4205000000001,606.0872
678.5723333333333,596.4773
507.8176666666667,493.83267
285.3566666666667,225.9978
710.7325,606.55994
621.168,577.3172
600.4188333333333,577.09283
557.7668333333334,492.42264
