y_true_step_1,y_predict_step_1,y_true_step_2,y_predict_step_2,y_true_step_3,y_predict_step_3,y_true_step_4,y_predict_step_4,y_true_step_5,y_predict_step_5,y_true_step_6,y_predict_step_6,y_true_step_7,y_predict_step_7,y_true_step_8,y_predict_step_8
152.4626690409839,156.21709,147.03908678494145,137.53163,145.5507177602384,125.96306,146.42565149282038,162.82036,156.70229233126383,156.73819,149.09029315215255,126.468575,117.72996064077536,120.22559,104.01353840312433,123.729454
147.02252628070323,140.71701,145.54546133551267,123.9937,146.32632911535936,127.453156,156.69071351232148,140.76918,149.1140981135783,155.02391,117.55533598776711,105.864746,103.88892077504103,83.427956,100.79888562353796,119.298134
145.46769177731665,124.526024,146.36521236662975,129.44388,156.66859879622393,139.9201,149.03138481493323,126.11633,117.72428243844607,132.50659,103.96387785164235,93.30602,100.8303764102344,125.164345,106.10942925735601,116.844765
146.32228086377373,133.44595,156.71954612948548,117.99053,149.0444503211289,137.2781,117.66978490091728,103.2537,103.94513473217074,83.981064,100.81241531251034,101.50082,106.15058133605521,114.64744,114.07744724255879,111.4699
156.7133251387631,147.0889,149.04911445355222,142.64693,117.69212724560515,124.09061,103.91412448416813,96.98127,100.83744317975024,130.7082,106.0826831604727,127.174095,113.91842403088842,122.34814,117.17750972846014,127.556114
149.13892332899977,122.364586,117.65956841405949,99.30956,103.96938425254727,90.11266,100.81194481522053,103.86458,106.10674056714831,116.030495,113.9488411229136,124.19584,117.14463472811869,121.85105,121.7825227779776,134.5573
117.66818091447841,126.809074,103.88701465889855,88.07085,100.84320419846973,90.0767,106.16141255264587,121.07471,113.95098723331805,117.048874,117.19825048110872,109.726715,121.78121664279146,110.69599,121.56723067262247,111.98173
103.93320579050555,94.90988,100.81153938120744,94.20817,106.19722983823686,127.71688,114.03361058968946,114.192024,117.14370795477441,119.60558,121.72038371783347,114.70883,121.46534991796635,133.32254,121.63352300212931,129.04253
100.8676262911197,111.69144,106.24847866809522,115.07742,113.98123282725433,130.0023,117.21784331156128,128.00902,121.74774846791904,120.92095,121.4884106789364,142.94978,121.71140311360877,121.24181,123.90173516165665,113.36837
106.17887536471119,95.68346,114.06306551612404,114.34513,117.03667941146219,139.3727,121.77076179188542,110.93257,121.52501902007856,154.2016,121.67838296581004,120.816536,123.82942137216013,123.80787,161.6364548876033,127.454155
113.97384973894147,129.72285,117.18552229524227,135.71996,121.80356136890373,130.40016,121.49475315575297,130.40724,121.65290865318869,125.349976,123.79974548115412,107.629616,161.78160343921846,124.08255,164.58427088881635,127.21932
117.14117865647833,142.49641,121.75533003832233,117.200386,121.52552054413405,139.49156,121.74176558285998,134.35707,123.78973067863947,121.21996,161.71945022600346,134.63875,164.54822792567677,114.705956,184.5263242525934,168.43336
121.74447268051989,121.39418,121.53371943027565,130.648,121.69358900616547,103.008514,123.81310397666459,105.74805,161.66506479623084,151.26028,164.5468010671951,142.82207,184.58236427417367,170.9767,191.99055280320556,172.73364
121.51260238108335,114.592865,121.71353587617406,89.30096,123.91914262839387,115.84427,161.74456222397492,118.604485,164.58071085286952,119.25928,184.59577770421168,173.3729,191.93472810590168,168.43246,191.70067430622757,162.08813
121.69634484383039,130.29832,123.9479954389576,126.47266,161.7262152850943,128.37576,164.58291070045004,111.755775,184.59776441151473,181.3005,191.97223276478564,174.59427,191.75914114072577,173.37674,153.87659665163434,147.53238
123.8643849306855,87.9451,161.6903639605936,116.688515,164.63797304888018,129.23077,184.5294074468604,147.71677,192.06000952135665,170.24765,191.81152278129053,167.62067,153.78947318374347,129.25833,151.73501844685322,148.90344
161.74081590158772,122.548676,164.54265955062755,104.56422,184.5219668284467,172.3458,192.03409481540695,164.43178,191.64888481431373,156.18799,153.86267962153175,154.76955,151.71736212162165,123.55246,141.38249672025088,136.03596
164.52867066871656,126.07184,184.5833969241897,169.47652,192.0713425275351,164.14706,191.64045678417833,159.56624,153.85037299673021,155.04915,151.82869047104748,140.88445,141.22462583827195,141.52881,140.0168983595933,133.75
184.61249413971242,178.34906,192.0697578102555,156.17732,191.64015246445612,166.15857,153.77297716934578,129.81392,151.7894304116142,128.21611,141.31984923366167,118.393135,140.02019130918399,118.26084,139.8571557438082,113.91859
191.9966654305877,169.26321,191.71361268485808,172.33731,153.85365362366494,147.30292,151.72761576243204,142.45134,141.39828872555725,136.65446,140.03135831271229,123.918976,139.7802681584732,113.30856,138.53516101376505,101.30036
191.65326591648866,179.16196,153.8783542301871,166.29294,151.82126311228373,140.14272,141.2639658840824,138.70897,140.05583547312892,138.7654,139.86047237968015,121.13726,138.5434363413331,124.79821,140.44500631579936,108.49027
153.82673059419986,181.9432,151.72564652511548,150.90068,141.26052427851874,144.03581,139.96687615241842,140.09863,139.8359782478626,124.07344,138.51939093207417,134.3678,140.36400120663316,137.82883,159.51352582911852,123.71375
151.76398342792726,139.00473,141.37767670385787,134.74518,139.9944338250048,123.07104,139.97584179166282,120.35683,138.5336167007216,124.40744,140.30730878884586,126.75681,159.41862204176365,130.19089,165.55079028742884,124.73574
141.2938268607337,156.81987,140.0433666913713,124.641235,139.86349521456202,124.21484,138.49869188770052,139.2477,140.30782698076325,125.02493,159.39642430543242,163.49673,165.5043409190633,143.42215,180.68348660638284,110.71682
140.0183713538732,135.78568,139.77754639439775,113.76794,138.51099237962592,130.43619,140.36943253565312,123.12643,159.42797379485665,135.07635,165.53435292196394,131.51549,180.64357710258898,135.4378,331.0736848184418,228.62006
